x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0,0,0,0,0,0,0,0,0,0,
1,33,1,11,1,73,1,15,1,33,
2,30,2,11,2,73,2,15,2,32.25,
3,28,3,10,3,74,3,15,3,31.75,
4,26,4,10,4,73,4,15,4,31,
5,25,5,11,5,72,5,15,5,30.75,
6,25,6,12,6,69,6,15,6,30.25,
7,25,7,12,7,68,7,14,7,29.75,
8,24,8,11,8,67,8,14,8,29,
9,24,9,12,9,67,9,14,9,29.25,
10,24,10,13,10,67,10,13,10,29.25,
11,22,11,13,11,67,11,13,11,28.75,
12,22,12,12,12,67,12,14,12,28.75,
13,21,13,11,13,67,13,16,13,28.75,
14,21,14,11,14,68,14,17,14,29.25,
15,22,15,12,15,68,15,18,15,30,
16,22,16,13,16,67,16,17,16,29.75,
17,23,17,14,17,66,17,16,17,29.75,
18,22,18,14,18,64,18,17,18,29.25,
19,22,19,14,19,64,19,17,19,29.25,
20,24,20,14,20,63,20,18,20,29.75,
21,24,21,13,21,62,21,19,21,29.5,
22,24,22,12,22,59,22,19,22,28.5,
23,25,23,12,23,57,23,17,23,27.75,
24,26,24,13,24,57,24,16,24,28,
25,26,25,13,25,58,25,15,25,28,
26,27,26,13,26,61,26,15,26,29,
27,26,27,13,27,62,27,14,27,28.75,
28,24,28,14,28,62,28,14,28,28.5,
29,24,29,15,29,61,29,13,29,28.25,
30,26,30,15,30,61,30,12,30,28.5,
31,26,31,15,31,64,31,11,31,29,
32,26,32,14,32,66,32,11,32,29.25,
33,27,33,14,33,66,33,11,33,29.5,
34,27,34,14,34,65,34,12,34,29.5,
35,27,35,13,35,66,35,12,35,29.5,
36,26,36,13,36,67,36,12,36,29.5,
37,24,37,14,37,69,37,12,37,29.75,
38,24,38,15,38,71,38,12,38,30.5,
39,26,39,15,39,71,39,13,39,31.25,
40,28,40,15,40,69,40,13,40,31.25,
41,29,41,14,41,70,41,14,41,31.75,
42,31,42,12,42,68,42,14,42,31.25,
43,30,43,11,43,68,43,14,43,30.75,
44,33,44,11,44,69,44,15,44,32,
45,36,45,11,45,69,45,15,45,32.75,
46,39,46,12,46,70,46,15,46,34,
47,40,47,13,47,72,47,15,47,35,
48,43,48,12,48,71,48,15,48,35.25,
49,45,49,12,49,70,49,15,49,35.5,
50,49,50,13,50,70,50,15,50,36.75,
51,52,51,12,51,71,51,15,51,37.5,
52,55,52,12,52,73,52,15,52,38.75,
53,55,53,11,53,73,53,14,53,38.25,
54,54,54,11,54,73,54,15,54,38.25,
55,52,55,10,55,73,55,15,55,37.5,
56,51,56,11,56,74,56,16,56,38,
57,49,57,11,57,74,57,17,57,37.75,
58,49,58,11,58,73,58,18,58,37.75,
59,50,59,11,59,69,59,19,59,37.25,
60,50,60,11,60,69,60,20,60,37.5,
61,49,61,11,61,68,61,19,61,36.75,
62,46,62,12,62,67,62,19,62,36,
63,45,63,12,63,67,63,20,63,36,
64,47,64,11,64,65,64,20,64,35.75,
65,48,65,10,65,63,65,21,65,35.5,
66,48,66,10,66,63,66,22,66,35.75,
67,47,67,10,67,62,67,23,67,35.5,
68,43,68,10,68,65,68,23,68,35.25,
69,42,69,10,69,65,69,24,69,35.25,
70,43,70,11,70,65,70,24,70,35.75,
71,43,71,12,71,65,71,25,71,36.25,
72,43,72,12,72,65,72,25,72,36.25,
73,44,73,12,73,62,73,26,73,36,
74,46,74,11,74,60,74,27,74,36,
75,48,75,11,75,58,75,27,75,36,
76,47,76,11,76,58,76,27,76,35.75,
77,48,77,13,77,61,77,28,77,37.5,
78,49,78,14,78,63,78,30,78,39,
79,51,79,14,79,61,79,31,79,39.25,
80,52,80,14,80,59,80,32,80,39.25,
81,52,81,15,81,56,81,35,81,39.5,
82,49,82,14,82,55,82,37,82,38.75,
83,49,83,14,83,56,83,38,83,39.25,
84,51,84,13,84,55,84,39,84,39.5,
85,51,85,12,85,55,85,40,85,39.5,
86,53,86,12,86,55,86,41,86,40.25,
87,54,87,11,87,54,87,42,87,40.25,
88,51,88,11,88,54,88,42,88,39.5,
89,48,89,10,89,53,89,42,89,38.25,
90,45,90,10,90,53,90,41,90,37.25,
91,43,91,10,91,54,91,39,91,36.5,
92,43,92,10,92,53,92,40,92,36.5,
93,44,93,11,93,53,93,41,93,37.25,
94,45,94,11,94,53,94,42,94,37.75,
95,44,95,10,95,53,95,43,95,37.5,
96,42,96,10,96,54,96,43,96,37.25,
97,39,97,10,97,56,97,42,97,36.75,
98,36,98,10,98,55,98,45,98,36.5,
99,36,99,11,99,53,99,47,99,36.75,
100,37,100,12,100,51,100,48,100,37,
101,38,101,12,101,50,101,50,101,37.5,
102,36,102,13,102,51,102,51,102,37.75,
103,33,103,12,103,52,103,51,103,37,
104,30,104,12,104,51,104,50,104,35.75,
105,27,105,12,105,51,105,48,105,34.5,
106,26,106,13,106,51,106,45,106,33.75,
107,25,107,14,107,52,107,45,107,34,
108,25,108,16,108,52,108,46,108,34.75,
109,26,109,16,109,50,109,47,109,34.75,
110,25,110,17,110,48,110,47,110,34.25,
111,24,111,17,111,47,111,47,111,33.75,
112,24,112,17,112,46,112,48,112,33.75,
113,24,113,16,113,44,113,49,113,33.25,
114,25,114,16,114,42,114,51,114,33.5,
115,26,115,15,115,41,115,50,115,33,
116,25,116,14,116,40,116,49,116,32,
117,25,117,14,117,39,117,48,117,31.5,
118,25,118,12,118,40,118,49,118,31.5,
119,25,119,11,119,41,119,49,119,31.5,
120,26,120,11,120,43,120,50,120,32.5,
121,27,121,11,121,45,121,51,121,33.5,
122,26,122,11,122,46,122,52,122,33.75,
123,27,123,11,123,46,123,56,123,35,
124,27,124,11,124,44,124,59,124,35.25,
125,27,125,11,125,45,125,61,125,36,
126,27,126,11,126,44,126,62,126,36,
127,27,127,12,127,42,127,63,127,36,
128,26,128,12,128,40,128,61,128,34.75,
129,26,129,12,129,39,129,60,129,34.25,
130,25,130,11,130,38,130,58,130,33,
131,25,131,11,131,38,131,56,131,32.5,
132,25,132,10,132,39,132,55,132,32.25,
133,24,133,11,133,38,133,55,133,32,
134,24,134,11,134,38,134,55,134,32,
135,25,135,11,135,37,135,56,135,32.25,
136,25,136,11,136,34,136,56,136,31.5,
137,27,137,12,137,33,137,56,137,32,
138,28,138,12,138,33,138,55,138,32,
139,28,139,13,139,33,139,54,139,32,
140,28,140,14,140,34,140,53,140,32.25,
141,27,141,14,141,35,141,52,141,32,
142,26,142,14,142,35,142,51,142,31.5,
143,25,143,14,143,37,143,49,143,31.25,
144,25,144,13,144,40,144,46,144,31,
145,26,145,12,145,43,145,45,145,31.5,
146,27,146,12,146,44,146,44,146,31.75,
147,27,147,12,147,45,147,44,147,32,
148,28,148,12,148,46,148,44,148,32.5,
149,27,149,12,149,46,149,44,149,32.25,
150,26,150,12,150,47,150,41,150,31.5,
151,26,151,13,151,48,151,39,151,31.5,
152,25,152,13,152,50,152,38,152,31.5,
153,25,153,14,153,51,153,35,153,31.25,
154,25,154,14,154,52,154,32,154,30.75,
155,25,155,14,155,53,155,29,155,30.25,
156,26,156,14,156,54,156,27,156,30.25,
157,26,157,14,157,54,157,27,157,30.25,
158,26,158,13,158,55,158,27,158,30.25,
159,26,159,12,159,55,159,28,159,30.25,
160,26,160,12,160,54,160,30,160,30.5,
161,26,161,13,161,54,161,32,161,31.25,
162,25,162,14,162,55,162,34,162,32,
163,26,163,14,163,55,163,36,163,32.75,
164,26,164,14,164,55,164,37,164,33,
165,26,165,13,165,55,165,37,165,32.75,
166,26,166,12,166,54,166,37,166,32.25,
167,27,167,13,167,55,167,37,167,33,
168,26,168,14,168,57,168,37,168,33.5,
169,25,169,16,169,58,169,39,169,34.5,
170,24,170,17,170,59,170,42,170,35.5,
171,23,171,16,171,60,171,45,171,36,
172,23,172,15,172,60,172,47,172,36.25,
173,26,173,15,173,60,173,48,173,37.25,
174,29,174,17,174,59,174,49,174,38.5,
175,31,175,19,175,58,175,48,175,39,
176,32,176,20,176,59,176,49,176,40,
177,32,177,21,177,60,177,49,177,40.5,
178,30,178,20,178,60,178,49,178,39.75,
179,29,179,20,179,61,179,48,179,39.5,
180,28,180,19,180,62,180,48,180,39.25,
181,28,181,17,181,64,181,49,181,39.5,
182,27,182,16,182,68,182,51,182,40.5,
183,27,183,17,183,70,183,50,183,41,
184,27,184,18,184,70,184,49,184,41,
185,27,185,20,185,71,185,48,185,41.5,
186,26,186,21,186,72,186,46,186,41.25,
187,24,187,21,187,73,187,46,187,41,
188,22,188,22,188,73,188,46,188,40.75,
189,23,189,22,189,73,189,44,189,40.5,
190,23,190,23,190,71,190,41,190,39.5,
191,23,191,23,191,71,191,38,191,38.75,
192,22,192,22,192,72,192,34,192,37.5,
193,23,193,21,193,73,193,33,193,37.5,
194,25,194,21,194,72,194,33,194,37.75,
195,26,195,19,195,70,195,34,195,37.25,
196,27,196,18,196,68,196,33,196,36.5,
197,28,197,16,197,68,197,33,197,36.25,
198,29,198,15,198,72,198,32,198,37,
199,30,199,15,199,74,199,32,199,37.75,
200,31,200,17,200,74,200,32,200,38.5,
201,30,201,19,201,75,201,31,201,38.75,
202,30,202,20,202,74,202,30,202,38.5,
203,32,203,20,203,72,203,29,203,38.25,
204,35,204,19,204,73,204,27,204,38.5,
205,37,205,18,205,71,205,25,205,37.75,
206,37,206,17,206,70,206,24,206,37,
207,38,207,18,207,71,207,24,207,37.75,
208,38,208,19,208,73,208,25,208,38.75,
209,42,209,19,209,75,209,27,209,40.75,
210,43,210,19,210,78,210,29,210,42.25,
211,44,211,19,211,77,211,29,211,42.25,
212,43,212,20,212,75,212,31,212,42.25,
213,45,213,20,213,73,213,31,213,42.25,
214,44,214,20,214,72,214,30,214,41.5,
215,45,215,21,215,71,215,30,215,41.75,
216,45,216,22,216,71,216,29,216,41.75,
217,46,217,21,217,74,217,28,217,42.25,
218,48,218,21,218,76,218,27,218,43,
219,51,219,20,219,77,219,26,219,43.5,
220,50,220,21,220,77,220,26,220,43.5,
221,46,221,21,221,77,221,26,221,42.5,
222,44,222,21,222,76,222,25,222,41.5,
223,38,223,21,223,77,223,26,223,40.5,
224,35,224,21,224,77,224,26,224,39.75,
225,32,225,22,225,77,225,26,225,39.25,
226,30,226,22,226,76,226,27,226,38.75,
227,30,227,22,227,77,227,26,227,38.75,
228,32,228,21,228,78,228,25,228,39,
229,32,229,21,229,78,229,24,229,38.75,
230,31,230,20,230,77,230,23,230,37.75,
231,31,231,20,231,77,231,21,231,37.25,
232,31,232,19,232,74,232,20,232,36,
233,31,233,19,233,75,233,19,233,36,
234,31,234,20,234,76,234,18,234,36.25,
235,30,235,19,235,77,235,16,235,35.5,
236,28,236,18,236,79,236,16,236,35.25,
237,28,237,17,237,80,237,15,237,35,
238,29,238,16,238,79,238,15,238,34.75,
239,30,239,15,239,79,239,15,239,34.75,
240,32,240,16,240,78,240,15,240,35.25,
241,31,241,15,241,77,241,16,241,34.75,
242,29,242,16,242,79,242,17,242,35.25,
243,28,243,17,243,80,243,18,243,35.75,
244,28,244,16,244,81,244,18,244,35.75,
245,29,245,15,245,81,245,17,245,35.5,
246,29,246,14,246,79,246,16,246,34.5,
247,30,247,13,247,79,247,15,247,34.25,
248,31,248,13,248,79,248,16,248,34.75,
249,31,249,12,249,77,249,16,249,34,
250,32,250,13,250,77,250,15,250,34.25,
251,33,251,13,251,75,251,15,251,34,
252,33,252,14,252,76,252,14,252,34.25,
253,34,253,14,253,76,253,15,253,34.75,
254,33,254,14,254,77,254,15,254,34.75,
255,32,255,14,255,77,255,15,255,34.5,
256,34,256,15,256,78,256,14,256,35.25,
257,34,257,14,257,78,257,14,257,35,
258,35,258,14,258,79,258,13,258,35.25,
259,37,259,12,259,79,259,13,259,35.25,
260,39,260,11,260,78,260,13,260,35.25,
261,45,261,12,261,78,261,12,261,36.75,
262,49,262,12,262,79,262,11,262,37.75,
263,51,263,13,263,80,263,10,263,38.5,
264,53,264,13,264,80,264,10,264,39,
265,53,265,13,265,77,265,10,265,38.25,
266,55,266,14,266,76,266,10,266,38.75,
267,57,267,15,267,77,267,10,267,39.75,
268,59,268,16,268,79,268,10,268,41,
269,62,269,18,269,78,269,10,269,42,
270,64,270,18,270,76,270,9,270,41.75,
271,65,271,18,271,73,271,9,271,41.25,
272,65,272,17,272,74,272,10,272,41.5,
273,63,273,17,273,74,273,9,273,40.75,
274,59,274,17,274,76,274,9,274,40.25,
275,58,275,17,275,77,275,9,275,40.25,
276,55,276,17,276,77,276,8,276,39.25,
277,53,277,17,277,76,277,8,277,38.5,
278,51,278,16,278,76,278,9,278,38,
279,51,279,16,279,74,279,9,279,37.5,
280,49,280,15,280,72,280,9,280,36.25,
281,48,281,15,281,72,281,9,281,36,
282,48,282,14,282,74,282,10,282,36.5,
283,47,283,14,283,76,283,10,283,36.75,
284,49,284,13,284,79,284,11,284,38,
285,49,285,13,285,79,285,11,285,38,
286,49,286,13,286,77,286,12,286,37.75,
287,49,287,13,287,77,287,13,287,38,
288,47,288,12,288,76,288,12,288,36.75,
289,46,289,12,289,75,289,12,289,36.25,
290,45,290,12,290,73,290,11,290,35.25,
291,44,291,14,291,74,291,12,291,36,
292,43,292,14,292,76,292,13,292,36.5,
293,41,293,14,293,78,293,13,293,36.5,
294,39,294,13,294,77,294,12,294,35.25,
